TWEET	499716836976373762	42633389
1	I	-
2	love	-
3	my	-
4	new/use	-
5	bedside	-
6	lamp	-
7	.	-
8	Just	-
9	$6	-
10	at	9
11	Salvation	-
12	Army	-
13	store	-
14	!	-
15	@	0
16	Ford	-
17	Lake	-
18	http://t.co/iI5xNqx0Kz	-

TWEET	359309332543836160	56081677
1	@farhankurnia_m	-
2	thank	-
3	you	-
4	Farhan	-
5	!	-
6	see	-
7	y	-
8	in	6
9	Bandung	-
10	!	-
11	:)	-

TWEET	440660870692368384	22418033
1	My	-
2	#sloppyjoe	-
3	version	-
4	for	3
5	#breakfast	-
6	http://t.co/TfgRpQ3yfk	-

TWEET	36967220361953280	19308586
1	Could	-
2	do	-
3	without	2
4	whoever	-
5	that	-
6	was	-
7	..	-

TWEET	28856324241	148446083
1	@JoshMiami	-
2	I'm	-
3	off	-
4	Thursday	-
5	.	-
6	Is	-
7	that	-
8	good	-
9	for	8
10	you	-
11	?	-

TWEET	486186643054157825	29229132
1	WIN	-
2	$300	-
3	USD	-
4	Cash	-
5	#Giveaway	-
6	#SizzlingSummer	-
7	,	-
8	Worldwide	-
9	,	-
10	8/6	-
11	http://t.co/TDoqLMf56E	-
12	via	1
13	@zoojourneys	-

TWEET	28847075504	110335368
1	Stupid	-
2	ass	-
3	pizza	-
4	man	-
5	,	-
6	gon	-
7	get	-
8	lost	-
9	n	-
10	shit	-
11	,	-
12	ask	-
13	me	-
14	4	12
15	a	-
16	tip	-
17	I	-
18	told	-
19	him	-
20	get	-
21	lost	-
22	#nshit	-

TWEET	248298777063092225	23398917
1	What	-
2	up	-
3	@jared_drew	-
4	at	3
5	@VanFashionWeek	-

TWEET	379089501853089792	23495190
1	Drinking	-
2	a	-
3	Pumpkin	-
4	Ale	-
5	by	4
6	@BluePointBrewer	-
7	@	1
8	Burrito	-
9	Bar	-
10		-
11	http://t.co/0CkxNPe7kh	-

TWEET	274206758950539265	38950691
1	How	-
2	Rodney	-
3	Mullen	-
4	Invented	-
5	Kickflips	-
6	:	-
7	http://t.co/isOTkN8m	-
8	//	-
9	still	-
10	admire	-
11	this	-
12	guys	-
13	sense	-
14	of	13
15	innovation	-
16	and	-
17	curiosity	-
18	.	-

TWEET	1788375559	16027418
1	Trying	-
2	to	-
3	explain	-
4	to	3
5	my	-
6	'	-
7	great	-
8	'	-
9	grandma	-
10	the	-
11	difference	-
12	between	11
13	a	-
14	cd	-
15	and	-
16	a	-
17	dvd	-
18	was	-
19	entertaining	-
20	...	-
21	and	-
22	then	-
23	she	-
24	asked	-
25	about	24
26	'	-
27	blue	-
28	rays	-
29	'	-
30	:P	-

TWEET	32468904269844480	14445666
1	Where's	-
2	this	-
3	#SnowTO	-
4	at	1
5	?	-
6	Let's	-
7	see	-
8	what	-
9	you've	-
10	got	-
